"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2020",961.337741754636
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2025",1511.62932686609
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2030",4904.54919166908
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2035",19872.3780322279
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2040",32395.8888887327
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2045",61999.3269371105
"GECO2023","NDC-LTS","World","Automotive","FuelCell","Sales","k*veh","2050",101479.294564485
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2020",1592.23057077824
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2025",12531.2681205639
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2030",47314.7985557656
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2035",63092.4771317596
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2040",49822.3219795006
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2045",81107.3918885173
"GECO2023","NDC-LTS","World","Automotive","Hybrid","Sales","k*veh","2050",79187.9973522235
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2020",119423.971258571
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2025",247002.722269913
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2030",210926.063026304
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2035",58894.017808367
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2040",48917.8257082092
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2045",63090.8320252032
"GECO2023","NDC-LTS","World","Automotive","ICE","Sales","k*veh","2050",69786.3411958554
