"source","scenario","scenario_geography","sector","technology","indicator","units","year","value"
"GECO2021","NDC-LTS","Global","Power","GasCap","Capacity","MW",2020,1725908375
"GECO2021","NDC-LTS","Global","Power","GasCap","Capacity","MW",2025,1993439750
"GECO2021","NDC-LTS","Global","Power","GasCap","Capacity","MW",2030,2320964250
"GECO2021","NDC-LTS","Global","Power","GasCap","Capacity","MW",2040,3168497000
"GECO2021","NDC-LTS","Global","Power","GasCap","Capacity","MW",2050,3370987250
"GECO2021","NDC-LTS","Global","Power","HydroCap","Capacity","MW",2020,1518797875
"GECO2021","NDC-LTS","Global","Power","HydroCap","Capacity","MW",2025,1593702875
"GECO2021","NDC-LTS","Global","Power","HydroCap","Capacity","MW",2030,1678212375
"GECO2021","NDC-LTS","Global","Power","HydroCap","Capacity","MW",2040,1931515000
"GECO2021","NDC-LTS","Global","Power","HydroCap","Capacity","MW",2050,2157013500
"GECO2021","NDC-LTS","Global","Power","NuclearCap","Capacity","MW",2020,383265750
"GECO2021","NDC-LTS","Global","Power","NuclearCap","Capacity","MW",2025,415749000
"GECO2021","NDC-LTS","Global","Power","NuclearCap","Capacity","MW",2030,457445250
"GECO2021","NDC-LTS","Global","Power","NuclearCap","Capacity","MW",2040,1037512937.5
"GECO2021","NDC-LTS","Global","Power","NuclearCap","Capacity","MW",2050,1307213500
"GECO2021","NDC-LTS","Global","Power","OilCap","Capacity","MW",2020,395409406.25
"GECO2021","NDC-LTS","Global","Power","OilCap","Capacity","MW",2025,394194843.75
"GECO2021","NDC-LTS","Global","Power","OilCap","Capacity","MW",2030,459935281.25
"GECO2021","NDC-LTS","Global","Power","OilCap","Capacity","MW",2040,566968812.5
"GECO2021","NDC-LTS","Global","Power","OilCap","Capacity","MW",2050,517410343.75
"GECO2021","NDC-LTS","Global","Power","RenewablesCap","Capacity","MW",2020,1460949375
"GECO2021","NDC-LTS","Global","Power","RenewablesCap","Capacity","MW",2025,2587149625
"GECO2021","NDC-LTS","Global","Power","RenewablesCap","Capacity","MW",2030,5014104125
"GECO2021","NDC-LTS","Global","Power","RenewablesCap","Capacity","MW",2040,12511101000
"GECO2021","NDC-LTS","Global","Power","RenewablesCap","Capacity","MW",2050,18989566500
"GECO2021","CurPol","Argentina","Power","CoalCap","Capacity","MW",2025,572.580444335937
"GECO2021","CurPol","Argentina","Power","OilCap","Capacity","MW",2025,1996.89587402343
"GECO2021","CurPol","Argentina","Power","GasCap","Capacity","MW",2025,22233.16015625
"GECO2021","CurPol","Argentina","Power","HydroCap","Capacity","MW",2025,12703.4482421875
