"Scenario","Region","Sector","Units","Variable_class","Sub_variable_class_1","Sub_variable_class_2","year","value"
"FPS","CHN","Power","GW","Capacity","Electricity generation","Natural gas","2020",50.86105271
"FPS","CSA","Power","GW","Capacity","Electricity generation","Natural gas","2020",90.81943933
"FPS","EEU","Power","GW","Capacity","Electricity generation","Natural gas","2020",18.79315881
"FPS","EURA","Power","GW","Capacity","Electricity generation","Natural gas","2020",44.87200601
"FPS","GCC","Power","GW","Capacity","Electricity generation","Natural gas","2020",120.9825711
"FPS","IND","Power","GW","Capacity","Electricity generation","Natural gas","2020",29.32428309
"FPS","IDN","Power","GW","Capacity","Electricity generation","Natural gas","2020",19.96725381
"FPS","JPN","Power","GW","Capacity","Electricity generation","Natural gas","2020",57.90196776
"FPS","MENA","Power","GW","Capacity","Electricity generation","Natural gas","2020",202.9926733
"FPS","RUS","Power","GW","Capacity","Electricity generation","Natural gas","2020",114.0322845
"FPS","SA","Power","GW","Capacity","Electricity generation","Natural gas","2020",32.2949665
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Natural gas","2020",0
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Natural gas","2020",86.18987282
"FPS","KOR","Power","GW","Capacity","Electricity generation","Natural gas","2020",37.27766282
"FPS","SSA","Power","GW","Capacity","Electricity generation","Natural gas","2020",26.90975194
"FPS","GBR","Power","GW","Capacity","Electricity generation","Natural gas","2020",33.61044373
"FPS","USA","Power","GW","Capacity","Electricity generation","Natural gas","2020",515.2813362
"FPS","WEU","Power","GW","Capacity","Electricity generation","Natural gas","2020",174.9988888
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Natural gas","2020",1703.592061
"FPS","AUS","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","CAN","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","CHN","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","CSA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","EEU","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","EURA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","GCC","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","IDN","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","MENA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","RUS","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","SA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","KOR","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","SSA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","GBR","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","USA","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","WEU","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Natural gas CCS","2020",0
"FPS","AUS","Power","GW","Capacity","Electricity generation","Nuclear","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Nuclear","2020",2.083671201
"FPS","CAN","Power","GW","Capacity","Electricity generation","Nuclear","2020",11.78913822
"FPS","CHN","Power","GW","Capacity","Electricity generation","Nuclear","2020",50.13985574
"FPS","CSA","Power","GW","Capacity","Electricity generation","Nuclear","2020",3.149199567
"FPS","EEU","Power","GW","Capacity","Electricity generation","Nuclear","2020",11.62943654
"FPS","EURA","Power","GW","Capacity","Electricity generation","Nuclear","2020",12.38374585
"FPS","GCC","Power","GW","Capacity","Electricity generation","Nuclear","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Nuclear","2020",4.532395689
"FPS","IDN","Power","GW","Capacity","Electricity generation","Nuclear","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Nuclear","2020",24.99769988
"FPS","MENA","Power","GW","Capacity","Electricity generation","Nuclear","2020",0.886345238
"FPS","RUS","Power","GW","Capacity","Electricity generation","Nuclear","2020",24.8002166
"FPS","SA","Power","GW","Capacity","Electricity generation","Nuclear","2020",1.520331547
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Nuclear","2020",1.73033459
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Nuclear","2020",3.717971275
"FPS","KOR","Power","GW","Capacity","Electricity generation","Nuclear","2020",20.98181029
"FPS","SSA","Power","GW","Capacity","Electricity generation","Nuclear","2020",0
"FPS","GBR","Power","GW","Capacity","Electricity generation","Nuclear","2020",9.536242623
"FPS","USA","Power","GW","Capacity","Electricity generation","Nuclear","2020",99.92857598
"FPS","WEU","Power","GW","Capacity","Electricity generation","Nuclear","2020",92.959481
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Nuclear","2020",376.7664518
"FPS","AUS","Power","GW","Capacity","Electricity generation","Hydro","2020",3.968101429
"FPS","BRA","Power","GW","Capacity","Electricity generation","Hydro","2020",102.8455366
"FPS","CAN","Power","GW","Capacity","Electricity generation","Hydro","2020",75.7291399
"FPS","CHN","Power","GW","Capacity","Electricity generation","Hydro","2020",328.907248
"FPS","CSA","Power","GW","Capacity","Electricity generation","Hydro","2020",85.22675236
"FPS","EEU","Power","GW","Capacity","Electricity generation","Hydro","2020",12.8296289
"FPS","EURA","Power","GW","Capacity","Electricity generation","Hydro","2020",24.52870953
"FPS","GCC","Power","GW","Capacity","Electricity generation","Hydro","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Hydro","2020",39.41351824
"FPS","IDN","Power","GW","Capacity","Electricity generation","Hydro","2020",6.154481694
"FPS","JPN","Power","GW","Capacity","Electricity generation","Hydro","2020",19.41487637
"FPS","MENA","Power","GW","Capacity","Electricity generation","Hydro","2020",25.00416858
"FPS","RUS","Power","GW","Capacity","Electricity generation","Hydro","2020",44.57040261
"FPS","SA","Power","GW","Capacity","Electricity generation","Hydro","2020",13.61936702
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Hydro","2020",0.239029807
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Hydro","2020",52.44313617
"FPS","KOR","Power","GW","Capacity","Electricity generation","Hydro","2020",0.781482276
"FPS","SSA","Power","GW","Capacity","Electricity generation","Hydro","2020",27.89956282
"FPS","GBR","Power","GW","Capacity","Electricity generation","Hydro","2020",1.396493034
"FPS","USA","Power","GW","Capacity","Electricity generation","Hydro","2020",73.95046552
"FPS","WEU","Power","GW","Capacity","Electricity generation","Hydro","2020",119.2977565
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Hydro","2020",1058.219857
"FPS","AUS","Power","GW","Capacity","Electricity generation","Biomass","2020",0.990385539
"FPS","BRA","Power","GW","Capacity","Electricity generation","Biomass","2020",15.1767222
"FPS","CAN","Power","GW","Capacity","Electricity generation","Biomass","2020",2.963012221
"FPS","CHN","Power","GW","Capacity","Electricity generation","Biomass","2020",20.49865255
"FPS","CSA","Power","GW","Capacity","Electricity generation","Biomass","2020",4.851190801
"FPS","EEU","Power","GW","Capacity","Electricity generation","Biomass","2020",3.448600808
"FPS","EURA","Power","GW","Capacity","Electricity generation","Biomass","2020",0.187662432
"FPS","GCC","Power","GW","Capacity","Electricity generation","Biomass","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Biomass","2020",25.45572991
"FPS","IDN","Power","GW","Capacity","Electricity generation","Biomass","2020",2.947475845
"FPS","JPN","Power","GW","Capacity","Electricity generation","Biomass","2020",4.869086974
"FPS","MENA","Power","GW","Capacity","Electricity generation","Biomass","2020",0.674877364
"FPS","RUS","Power","GW","Capacity","Electricity generation","Biomass","2020",2.745956871
"FPS","SA","Power","GW","Capacity","Electricity generation","Biomass","2020",0.179660842
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Biomass","2020",0.230563435
"FPS","SEAO","Power","GW","Capacity","Electricity generation","Biomass","2020",4.063438694
"FPS","KOR","Power","GW","Capacity","Electricity generation","Biomass","2020",1.50067904
"FPS","SSA","Power","GW","Capacity","Electricity generation","Biomass","2020",0.487229516
"FPS","GBR","Power","GW","Capacity","Electricity generation","Biomass","2020",8.04671876
"FPS","USA","Power","GW","Capacity","Electricity generation","Biomass","2020",14.47229193
"FPS","WEU","Power","GW","Capacity","Electricity generation","Biomass","2020",30.12791723
"FPS","WORLD","Power","GW","Capacity","Electricity generation","Biomass","2020",143.917853
"FPS","AUS","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","BRA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","CAN","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","CHN","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","CSA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","EEU","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","EURA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","GCC","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","IND","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","IDN","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","JPN","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","MENA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","RUS","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","SA","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
"FPS","ZAF","Power","GW","Capacity","Electricity generation","Biomass CCS","2020",0
