"Annual energy","units","scenario","year","value","scenario_geography"
"wind_electricity","EJ","Oxford2021_fast","2021",7.9488,"Global"
"solar_electricity","EJ","Oxford2021_fast","2021",4.8299328,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2021",0.00138854,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2021",4.1e-05,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2021",2.92e-06,"Global"
"hydrogen","EJ","Oxford2021_fast","2021",0.00578591,"Global"
"oil_final","EJ","Oxford2021_base","2022",146.0560084,"Global"
"coal_final","EJ","Oxford2021_base","2022",41.70611112,"Global"
"gas_final","EJ","Oxford2021_base","2022",60.94093061,"Global"
"coal_electricity","EJ","Oxford2021_base","2022",39.09241456,"Global"
"gas_electricity","EJ","Oxford2021_base","2022",24.13823717,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2022",10.49959195,"Global"
"hydro_electricity","EJ","Oxford2021_base","2022",16.34472562,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2022",2.72841785,"Global"
"wind_electricity","EJ","Oxford2021_base","2022",5.28750681,"Global"
"solar_electricity","EJ","Oxford2021_base","2022",2.85702682,"Global"
"batteries_ST_transport","EJ","Oxford2021_base","2022",0.00036694,"Global"
"batteries_ST_electricity","EJ","Oxford2021_base","2022",0,"Global"
"batteries_LT_electricity","EJ","Oxford2021_base","2022",0,"Global"
"hydrogen","EJ","Oxford2021_base","2022",0.00143369,"Global"
"oil_final","EJ","Oxford2021_fast","2022",139.1763152,"Global"
"coal_final","EJ","Oxford2021_fast","2022",37.85248379,"Global"
"gas_final","EJ","Oxford2021_fast","2022",51.47122234,"Global"
"coal_electricity","EJ","Oxford2021_fast","2022",36.3785651,"Global"
"gas_electricity","EJ","Oxford2021_fast","2022",30.66440135,"Global"
"nuclear_electricity","EJ","Oxford2021_fast","2022",10.49959195,"Global"
"hydro_electricity","EJ","Oxford2021_fast","2022",16.34472562,"Global"
"bioenergy_electricity","EJ","Oxford2021_fast","2022",3.80666,"Global"
"wind_electricity","EJ","Oxford2021_fast","2022",9.53856,"Global"
"solar_electricity","EJ","Oxford2021_fast","2022",6.37118643,"Global"
"batteries_ST_transport","EJ","Oxford2021_fast","2022",0.00222167,"Global"
"batteries_ST_electricity","EJ","Oxford2021_fast","2022",6.55e-05,"Global"
"batteries_LT_electricity","EJ","Oxford2021_fast","2022",5.25e-06,"Global"
"hydrogen","EJ","Oxford2021_fast","2022",0.00947437,"Global"
"oil_final","EJ","Oxford2021_base","2023",148.4898761,"Global"
"coal_final","EJ","Oxford2021_base","2023",42.54023335,"Global"
"gas_final","EJ","Oxford2021_base","2023",62.15974922,"Global"
"coal_electricity","EJ","Oxford2021_base","2023",39.79607802,"Global"
"gas_electricity","EJ","Oxford2021_base","2023",24.62100191,"Global"
"nuclear_electricity","EJ","Oxford2021_base","2023",10.70958379,"Global"
"hydro_electricity","EJ","Oxford2021_base","2023",16.67162013,"Global"
"bioenergy_electricity","EJ","Oxford2021_base","2023",2.76204243,"Global"
"wind_electricity","EJ","Oxford2021_base","2023",5.47323035,"Global"
"solar_electricity","EJ","Oxford2021_base","2023",3.08558896,"Global"
