"source","scenario","scenario_geography","sector","indicator","technology","units","year","value"
"WEO2023","STEPS","Global","Power","Electricity generation","RenewablesCap","TWh",2050,31717.38
"WEO2023","APS","Global","Coal","Total energy supply","Coal","EJ",2022,170.177
"WEO2023","APS","Global","Coal","Total energy supply","Coal","EJ",2030,127.117
"WEO2023","APS","Global","Coal","Total energy supply","Coal","EJ",2035,92.303
"WEO2023","APS","Global","Coal","Total energy supply","Coal","EJ",2040,70.599
"WEO2023","APS","Global","Coal","Total energy supply","Coal","EJ",2050,44.846
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Gas","EJ",2022,144.079
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Gas","EJ",2030,133.431
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Gas","EJ",2035,117.055
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Gas","EJ",2040,104.189
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Gas","EJ",2050,84.262
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Oil","EJ",2022,186.738
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Oil","EJ",2030,176.917
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Oil","EJ",2035,155.242
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Oil","EJ",2040,132.925
"WEO2023","APS","Global","Oil&Gas","Total energy supply","Oil","EJ",2050,101.739
"WEO2023","NZE_2050","Global","Coal","Total energy supply","Coal","EJ",2022,170.177
"WEO2023","NZE_2050","Global","Coal","Total energy supply","Coal","EJ",2030,95.458
"WEO2023","NZE_2050","Global","Coal","Total energy supply","Coal","EJ",2035,49.927
"WEO2023","NZE_2050","Global","Coal","Total energy supply","Coal","EJ",2040,25.389
"WEO2023","NZE_2050","Global","Coal","Total energy supply","Coal","EJ",2050,14.637
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Gas","EJ",2022,144.079
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Gas","EJ",2030,118.374
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Gas","EJ",2035,76.969
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Gas","EJ",2040,52.892
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Gas","EJ",2050,32.023
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Oil","EJ",2022,186.738
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Oil","EJ",2030,148.22
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Oil","EJ",2035,110.404
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Oil","EJ",2040,78.932
"WEO2023","NZE_2050","Global","Oil&Gas","Total energy supply","Oil","EJ",2050,41.686
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2010,152.922
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2021,167.353
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2022,170.177
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2030,146.731
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2035,130.464
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2040,118.882
"WEO2023","STEPS","Global","Coal","Total energy supply","Coal","EJ",2050,101.564
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2010,115.222
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2021,146.25
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2022,144.079
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2030,148.688
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2035,146.851
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2040,145.727
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Gas","EJ",2050,144.42
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2010,173.018
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2021,182.443
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2022,186.738
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2030,194.938
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2035,190.648
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2040,186.972
"WEO2023","STEPS","Global","Oil&Gas","Total energy supply","Oil","EJ",2050,185.825
