"Variable_class","Sub_variable_class_1","Sub_variable_class_2","Scenario","Region","Sector","Units","year","value"
"Capacity","Electricity generation","Natural gas","FPS","CHN","Power","GW","2020",50.86105271
"Capacity","Electricity generation","Natural gas","FPS","CSA","Power","GW","2020",90.81943933
"Capacity","Electricity generation","Natural gas","FPS","EEU","Power","GW","2020",18.79315881
"Capacity","Electricity generation","Natural gas","FPS","EURA","Power","GW","2020",44.87200601
"Capacity","Electricity generation","Natural gas","FPS","GCC","Power","GW","2020",120.9825711
"Capacity","Electricity generation","Natural gas","FPS","IND","Power","GW","2020",29.32428309
"Capacity","Electricity generation","Natural gas","FPS","IDN","Power","GW","2020",19.96725381
"Capacity","Electricity generation","Natural gas","FPS","JPN","Power","GW","2020",57.90196776
"Capacity","Electricity generation","Natural gas","FPS","MENA","Power","GW","2020",202.9926733
"Capacity","Electricity generation","Natural gas","FPS","RUS","Power","GW","2020",114.0322845
"Capacity","Electricity generation","Natural gas","FPS","SA","Power","GW","2020",32.2949665
"Capacity","Electricity generation","Natural gas","FPS","ZAF","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas","FPS","SEAO","Power","GW","2020",86.18987282
"Capacity","Electricity generation","Natural gas","FPS","KOR","Power","GW","2020",37.27766282
"Capacity","Electricity generation","Natural gas","FPS","SSA","Power","GW","2020",26.90975194
"Capacity","Electricity generation","Natural gas","FPS","GBR","Power","GW","2020",33.61044373
"Capacity","Electricity generation","Natural gas","FPS","USA","Power","GW","2020",515.2813362
"Capacity","Electricity generation","Natural gas","FPS","WEU","Power","GW","2020",174.9988888
"Capacity","Electricity generation","Natural gas","FPS","WORLD","Power","GW","2020",1703.592061
"Capacity","Electricity generation","Natural gas CCS","FPS","AUS","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","BRA","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","CAN","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","CHN","Power","GW","2020",0
"Capacity","Electricity generation","Natural gas CCS","FPS","CSA","Power","GW","2020",0
