"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","EEU","Capacity","Electricity generation","Natural gas","Power","GW","2020",26.9
"FPS","EURA","Capacity","Electricity generation","Natural gas","Power","GW","2020",46.5
"FPS","GCC","Capacity","Electricity generation","Natural gas","Power","GW","2020",116.8
"FPS","IND","Capacity","Electricity generation","Natural gas","Power","GW","2020",26.7
"FPS","IDN","Capacity","Electricity generation","Natural gas","Power","GW","2020",15.5
"FPS","JPN","Capacity","Electricity generation","Natural gas","Power","GW","2020",62.6
"FPS","MENA","Capacity","Electricity generation","Natural gas","Power","GW","2020",198.3
"FPS","RUS","Capacity","Electricity generation","Natural gas","Power","GW","2020",101.7
"FPS","SA","Capacity","Electricity generation","Natural gas","Power","GW","2020",32.7
"FPS","SAF","Capacity","Electricity generation","Natural gas","Power","GW","2020",0
"FPS","SEAO","Capacity","Electricity generation","Natural gas","Power","GW","2020",84.2
"FPS","KOR","Capacity","Electricity generation","Natural gas","Power","GW","2020",39.5
"FPS","SSA","Capacity","Electricity generation","Natural gas","Power","GW","2020",27.6
"FPS","GBR","Capacity","Electricity generation","Natural gas","Power","GW","2020",30.2
"FPS","USA","Capacity","Electricity generation","Natural gas","Power","GW","2020",608.5
"FPS","WEU","Capacity","Electricity generation","Natural gas","Power","GW","2020",206
"FPS","WORLD","Capacity","Electricity generation","Natural gas","Power","GW","2020",1809.8
"FPS","AUS","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","CAN","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","CHN","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","CSA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","EEU","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","EURA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","GCC","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","IDN","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","MENA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","RUS","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","SA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","SAF","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","SEAO","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","KOR","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","SSA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","GBR","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","USA","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","WEU","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","WORLD","Capacity","Electricity generation","Natural gas CCS","Power","GW","2020",0
"FPS","AUS","Capacity","Electricity generation","Nuclear","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Nuclear","Power","GW","2020",1.8
"FPS","CAN","Capacity","Electricity generation","Nuclear","Power","GW","2020",11.3
"FPS","CHN","Capacity","Electricity generation","Nuclear","Power","GW","2020",56.5
"FPS","CSA","Capacity","Electricity generation","Nuclear","Power","GW","2020",3
"FPS","EEU","Capacity","Electricity generation","Nuclear","Power","GW","2020",13.5
"FPS","EURA","Capacity","Electricity generation","Nuclear","Power","GW","2020",11.1
"FPS","GCC","Capacity","Electricity generation","Nuclear","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Nuclear","Power","GW","2020",5.3
"FPS","IDN","Capacity","Electricity generation","Nuclear","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Nuclear","Power","GW","2020",15.4
"FPS","MENA","Capacity","Electricity generation","Nuclear","Power","GW","2020",0.6
"FPS","RUS","Capacity","Electricity generation","Nuclear","Power","GW","2020",26.3
"FPS","SA","Capacity","Electricity generation","Nuclear","Power","GW","2020",1.7
"FPS","SAF","Capacity","Electricity generation","Nuclear","Power","GW","2020",1.6
"FPS","SEAO","Capacity","Electricity generation","Nuclear","Power","GW","2020",4.1
"FPS","KOR","Capacity","Electricity generation","Nuclear","Power","GW","2020",25.5
"FPS","SSA","Capacity","Electricity generation","Nuclear","Power","GW","2020",0
"FPS","GBR","Capacity","Electricity generation","Nuclear","Power","GW","2020",7.8
"FPS","USA","Capacity","Electricity generation","Nuclear","Power","GW","2020",101.3
"FPS","WEU","Capacity","Electricity generation","Nuclear","Power","GW","2020",87.9
"FPS","WORLD","Capacity","Electricity generation","Nuclear","Power","GW","2020",374.8
"FPS","AUS","Capacity","Electricity generation","Hydro","Power","GW","2020",3.6
"FPS","BRA","Capacity","Electricity generation","Hydro","Power","GW","2020",100.9
"FPS","CAN","Capacity","Electricity generation","Hydro","Power","GW","2020",74.8
"FPS","CHN","Capacity","Electricity generation","Hydro","Power","GW","2020",328.8
"FPS","CSA","Capacity","Electricity generation","Hydro","Power","GW","2020",80.6
"FPS","EEU","Capacity","Electricity generation","Hydro","Power","GW","2020",11.7
"FPS","EURA","Capacity","Electricity generation","Hydro","Power","GW","2020",20.4
"FPS","GCC","Capacity","Electricity generation","Hydro","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Hydro","Power","GW","2020",42.9
"FPS","IDN","Capacity","Electricity generation","Hydro","Power","GW","2020",6.7
"FPS","JPN","Capacity","Electricity generation","Hydro","Power","GW","2020",19.5
"FPS","MENA","Capacity","Electricity generation","Hydro","Power","GW","2020",32.2
"FPS","RUS","Capacity","Electricity generation","Hydro","Power","GW","2020",49.8
"FPS","SA","Capacity","Electricity generation","Hydro","Power","GW","2020",12.5
"FPS","SAF","Capacity","Electricity generation","Hydro","Power","GW","2020",0.3
"FPS","SEAO","Capacity","Electricity generation","Hydro","Power","GW","2020",47.2
"FPS","KOR","Capacity","Electricity generation","Hydro","Power","GW","2020",0.9
"FPS","SSA","Capacity","Electricity generation","Hydro","Power","GW","2020",28.2
"FPS","GBR","Capacity","Electricity generation","Hydro","Power","GW","2020",1.8
"FPS","USA","Capacity","Electricity generation","Hydro","Power","GW","2020",74.5
"FPS","WEU","Capacity","Electricity generation","Hydro","Power","GW","2020",130.1
"FPS","WORLD","Capacity","Electricity generation","Hydro","Power","GW","2020",1067.6
"FPS","AUS","Capacity","Electricity generation","Biomass","Power","GW","2020",0.9
"FPS","BRA","Capacity","Electricity generation","Biomass","Power","GW","2020",16.5
"FPS","CAN","Capacity","Electricity generation","Biomass","Power","GW","2020",2.8
"FPS","CHN","Capacity","Electricity generation","Biomass","Power","GW","2020",25.2
"FPS","CSA","Capacity","Electricity generation","Biomass","Power","GW","2020",5.5
"FPS","EEU","Capacity","Electricity generation","Biomass","Power","GW","2020",4.6
"FPS","EURA","Capacity","Electricity generation","Biomass","Power","GW","2020",0.4
"FPS","GCC","Capacity","Electricity generation","Biomass","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Biomass","Power","GW","2020",20.1
"FPS","IDN","Capacity","Electricity generation","Biomass","Power","GW","2020",3
"FPS","JPN","Capacity","Electricity generation","Biomass","Power","GW","2020",5.2
"FPS","MENA","Capacity","Electricity generation","Biomass","Power","GW","2020",1.1
"FPS","RUS","Capacity","Electricity generation","Biomass","Power","GW","2020",3.8
"FPS","SA","Capacity","Electricity generation","Biomass","Power","GW","2020",0.1
"FPS","SAF","Capacity","Electricity generation","Biomass","Power","GW","2020",0.2
"FPS","SEAO","Capacity","Electricity generation","Biomass","Power","GW","2020",4.4
"FPS","KOR","Capacity","Electricity generation","Biomass","Power","GW","2020",1.7
"FPS","SSA","Capacity","Electricity generation","Biomass","Power","GW","2020",0.5
"FPS","GBR","Capacity","Electricity generation","Biomass","Power","GW","2020",9.5
"FPS","USA","Capacity","Electricity generation","Biomass","Power","GW","2020",13.6
"FPS","WEU","Capacity","Electricity generation","Biomass","Power","GW","2020",34.8
"FPS","WORLD","Capacity","Electricity generation","Biomass","Power","GW","2020",153.9
"FPS","AUS","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","BRA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","CAN","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","CHN","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","CSA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","EEU","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","EURA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","GCC","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","IND","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","IDN","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","JPN","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","MENA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","RUS","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","SA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","SAF","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","SEAO","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","KOR","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","SSA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","GBR","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","USA","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","WEU","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","WORLD","Capacity","Electricity generation","Biomass CCS","Power","GW","2020",0
"FPS","AUS","Capacity","Electricity generation","Solar","Power","GW","2020",32.9
"FPS","BRA","Capacity","Electricity generation","Solar","Power","GW","2020",17.4
