"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","year","value"
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2027",49.5
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2027",2.3
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2027",3.5
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2027",4.3
"FPS","USA","Price","Coal","","","USD / tonne","2027",35.3
"FPS","Europe","Price","Coal","","","USD / tonne","2027",56.5
"FPS","CHN","Price","Coal","","","USD / tonne","2027",77.4
"FPS","JPN","Price","Coal","","","USD / tonne","2027",70.6
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2028",56
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2028",2.7
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2028",3.8
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2028",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2028",48
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2028",2.3
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2028",3.4
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2028",4.3
"FPS","USA","Price","Coal","","","USD / tonne","2028",33.7
"FPS","Europe","Price","Coal","","","USD / tonne","2028",56.9
"FPS","CHN","Price","Coal","","","USD / tonne","2028",77.1
"FPS","JPN","Price","Coal","","","USD / tonne","2028",70
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2029",55.5
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2029",2.7
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2029",3.8
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2029",4.7
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2029",46.5
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2029",2.3
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2029",3.3
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2029",4.3
"FPS","USA","Price","Coal","","","USD / tonne","2029",32
"FPS","Europe","Price","Coal","","","USD / tonne","2029",57.3
"FPS","CHN","Price","Coal","","","USD / tonne","2029",76.9
"FPS","JPN","Price","Coal","","","USD / tonne","2029",69.4
"FPS","WORLD","Price (high)","Oil","","","USD / Barrel","2030",55
"FPS","USA","Price (high)","Natural gas","","","USD / MMBtu","2030",2.8
"FPS","Europe","Price (high)","Natural gas","","","USD / MMBtu","2030",3.8
"FPS","Asia","Price (high)","Natural gas","","","USD / MMBtu","2030",4.8
"FPS","WORLD","Price (low)","Oil","","","USD / Barrel","2030",45
"FPS","USA","Price (low)","Natural gas","","","USD / MMBtu","2030",2.2
"FPS","Europe","Price (low)","Natural gas","","","USD / MMBtu","2030",3.2
"FPS","Asia","Price (low)","Natural gas","","","USD / MMBtu","2030",4.2
"FPS","USA","Price","Coal","","","USD / tonne","2030",30.4
"FPS","Europe","Price","Coal","","","USD / tonne","2030",57.8
