"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2037",39.5
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2037",2.65
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2037",3.8
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2037",4.8
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2037",29.5
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2037",2.15
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2037",3.3
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2037",4.3
"FPS","USA","Price","Coal","USD / tonne","2037",27.44
"FPS","Europe","Price","Coal","USD / tonne","2037",59.85
"FPS","CHN","Price","Coal","USD / tonne","2037",71.37
"FPS","JPN","Price","Coal","USD / tonne","2037",64.92
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2037",28
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2037",2.65
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2037",3.3
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2037",3.95
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2037",18
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2037",2.15
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2037",2.8
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2037",3.45
"RPS","USA","Price","Coal","USD / tonne","2037",24.34
"RPS","Europe","Price","Coal","USD / tonne","2037",57.46
"RPS","CHN","Price","Coal","USD / tonne","2037",67.01
"RPS","JPN","Price","Coal","USD / tonne","2037",60.25
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2038",38
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2038",2.6
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2038",3.7
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2038",4.7
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2038",28
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2038",2.1
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2038",3.2
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2038",4.2
"FPS","USA","Price","Coal","USD / tonne","2038",26.56
"FPS","Europe","Price","Coal","USD / tonne","2038",59.7
"FPS","CHN","Price","Coal","USD / tonne","2038",70.58
"FPS","JPN","Price","Coal","USD / tonne","2038",63.88
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2038",27
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2038",2.6
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2038",3.2
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2038",3.8
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2038",17
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2038",2.1
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2038",2.7
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2038",3.3
"RPS","USA","Price","Coal","USD / tonne","2038",24.26
"RPS","Europe","Price","Coal","USD / tonne","2038",57.04
"RPS","CHN","Price","Coal","USD / tonne","2038",66.54
"RPS","JPN","Price","Coal","USD / tonne","2038",59.7
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2039",36.5
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2039",2.55
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2039",3.6
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2039",4.6
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2039",26.5
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2039",2.05
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2039",3.1
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2039",4.1
"FPS","USA","Price","Coal","USD / tonne","2039",25.68
"FPS","Europe","Price","Coal","USD / tonne","2039",59.55
"FPS","CHN","Price","Coal","USD / tonne","2039",69.79
"FPS","JPN","Price","Coal","USD / tonne","2039",62.84
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2039",26
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2039",2.55
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2039",3.1
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2039",3.65
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2039",16
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2039",2.05
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2039",2.6
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2039",3.15
"RPS","USA","Price","Coal","USD / tonne","2039",24.18
"RPS","Europe","Price","Coal","USD / tonne","2039",56.62
"RPS","CHN","Price","Coal","USD / tonne","2039",66.07
"RPS","JPN","Price","Coal","USD / tonne","2039",59.15
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2040",35
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2040",2.5
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2040",3.5
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2040",4.5
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2040",25
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2040",2
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2040",3
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2040",4
"FPS","USA","Price","Coal","USD / tonne","2040",24.8
"FPS","Europe","Price","Coal","USD / tonne","2040",59.4
"FPS","CHN","Price","Coal","USD / tonne","2040",69
"FPS","JPN","Price","Coal","USD / tonne","2040",61.8
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2040",25
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2040",2.5
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2040",3
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2040",3.5
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2040",15
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2040",2
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2040",2.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2040",3
"RPS","USA","Price","Coal","USD / tonne","2040",24.1
"RPS","Europe","Price","Coal","USD / tonne","2040",56.2
"RPS","CHN","Price","Coal","USD / tonne","2040",65.6
"RPS","JPN","Price","Coal","USD / tonne","2040",58.6
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2041",34
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2041",2.45
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2041",3.4
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2041",4.4
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2041",24
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2041",1.95
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2041",2.9
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2041",3.9
"FPS","USA","Price","Coal","USD / tonne","2041",24.73
"FPS","Europe","Price","Coal","USD / tonne","2041",59.15
"FPS","CHN","Price","Coal","USD / tonne","2041",68.58
"FPS","JPN","Price","Coal","USD / tonne","2041",61.54
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2041",24.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2041",2.45
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2041",2.9
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2041",3.4
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2041",14.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2041",1.95
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2041",2.4
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2041",2.9
"RPS","USA","Price","Coal","USD / tonne","2041",24.03
"RPS","Europe","Price","Coal","USD / tonne","2041",55.94
"RPS","CHN","Price","Coal","USD / tonne","2041",65.36
"RPS","JPN","Price","Coal","USD / tonne","2041",58.47
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2042",33
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2042",2.4
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2042",3.3
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2042",4.3
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2042",23
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2042",1.9
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2042",2.8
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2042",3.8
"FPS","USA","Price","Coal","USD / tonne","2042",24.66
"FPS","Europe","Price","Coal","USD / tonne","2042",58.9
"FPS","CHN","Price","Coal","USD / tonne","2042",68.16
"FPS","JPN","Price","Coal","USD / tonne","2042",61.28
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2042",24
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2042",2.4
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2042",2.8
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2042",3.3
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2042",14
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2042",1.9
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2042",2.3
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2042",2.8
"RPS","USA","Price","Coal","USD / tonne","2042",23.96
"RPS","Europe","Price","Coal","USD / tonne","2042",55.68
"RPS","CHN","Price","Coal","USD / tonne","2042",65.12
"RPS","JPN","Price","Coal","USD / tonne","2042",58.34
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2043",32
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2043",2.35
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2043",3.2
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2043",4.2
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2043",22
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2043",1.85
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2043",2.7
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2043",3.7
"FPS","USA","Price","Coal","USD / tonne","2043",24.59
"FPS","Europe","Price","Coal","USD / tonne","2043",58.65
"FPS","CHN","Price","Coal","USD / tonne","2043",67.74
"FPS","JPN","Price","Coal","USD / tonne","2043",61.02
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2043",23.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2043",2.35
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2043",2.7
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2043",3.2
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2043",13.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2043",1.85
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2043",2.2
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2043",2.7
"RPS","USA","Price","Coal","USD / tonne","2043",23.89
"RPS","Europe","Price","Coal","USD / tonne","2043",55.42
"RPS","CHN","Price","Coal","USD / tonne","2043",64.88
"RPS","JPN","Price","Coal","USD / tonne","2043",58.21
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2044",31
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2044",2.3
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2044",3.1
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2044",4.1
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2044",21
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2044",1.8
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2044",2.6
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2044",3.6
"FPS","USA","Price","Coal","USD / tonne","2044",24.52
"FPS","Europe","Price","Coal","USD / tonne","2044",58.4
"FPS","CHN","Price","Coal","USD / tonne","2044",67.32
"FPS","JPN","Price","Coal","USD / tonne","2044",60.76
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2044",23
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2044",2.3
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2044",2.6
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2044",3.1
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2044",13
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2044",1.8
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2044",2.1
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2044",2.6
"RPS","USA","Price","Coal","USD / tonne","2044",23.82
"RPS","Europe","Price","Coal","USD / tonne","2044",55.16
"RPS","CHN","Price","Coal","USD / tonne","2044",64.64
"RPS","JPN","Price","Coal","USD / tonne","2044",58.08
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2045",30
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2045",2.25
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2045",3
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2045",4
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2045",20
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2045",1.75
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2045",2.5
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2045",3.5
"FPS","USA","Price","Coal","USD / tonne","2045",24.45
"FPS","Europe","Price","Coal","USD / tonne","2045",58.15
"FPS","CHN","Price","Coal","USD / tonne","2045",66.9
"FPS","JPN","Price","Coal","USD / tonne","2045",60.5
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2045",22.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2045",2.25
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2045",2.5
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2045",3
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2045",12.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2045",1.75
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2045",2
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2045",2.5
"RPS","USA","Price","Coal","USD / tonne","2045",23.75
"RPS","Europe","Price","Coal","USD / tonne","2045",54.9
"RPS","CHN","Price","Coal","USD / tonne","2045",64.4
"RPS","JPN","Price","Coal","USD / tonne","2045",57.95
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2046",29
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2046",2.2
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2046",2.9
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2046",3.9
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2046",19
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2046",1.7
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2046",2.4
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2046",3.4
"FPS","USA","Price","Coal","USD / tonne","2046",24.38
"FPS","Europe","Price","Coal","USD / tonne","2046",57.9
"FPS","CHN","Price","Coal","USD / tonne","2046",66.48
"FPS","JPN","Price","Coal","USD / tonne","2046",60.24
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2046",22
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2046",2.2
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2046",2.4
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2046",2.9
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2046",12
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2046",1.7
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2046",1.9
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2046",2.4
"RPS","USA","Price","Coal","USD / tonne","2046",23.68
"RPS","Europe","Price","Coal","USD / tonne","2046",54.64
"RPS","CHN","Price","Coal","USD / tonne","2046",64.16
"RPS","JPN","Price","Coal","USD / tonne","2046",57.82
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2047",28
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2047",2.15
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2047",2.8
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2047",3.8
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2047",18
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2047",1.65
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2047",2.3
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2047",3.3
"FPS","USA","Price","Coal","USD / tonne","2047",24.31
"FPS","Europe","Price","Coal","USD / tonne","2047",57.65
"FPS","CHN","Price","Coal","USD / tonne","2047",66.06
"FPS","JPN","Price","Coal","USD / tonne","2047",59.98
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2047",21.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2047",2.15
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2047",2.3
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2047",2.8
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2047",11.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2047",1.65
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2047",1.8
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2047",2.3
"RPS","USA","Price","Coal","USD / tonne","2047",23.61
"RPS","Europe","Price","Coal","USD / tonne","2047",54.38
"RPS","CHN","Price","Coal","USD / tonne","2047",63.92
"RPS","JPN","Price","Coal","USD / tonne","2047",57.69
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2048",27
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2048",2.1
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2048",2.7
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2048",3.7
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2048",17
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2048",1.6
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2048",2.2
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2048",3.2
"FPS","USA","Price","Coal","USD / tonne","2048",24.24
"FPS","Europe","Price","Coal","USD / tonne","2048",57.4
"FPS","CHN","Price","Coal","USD / tonne","2048",65.64
"FPS","JPN","Price","Coal","USD / tonne","2048",59.72
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2048",21
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2048",2.1
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2048",2.2
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2048",2.7
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2048",11
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2048",1.6
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2048",1.7
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2048",2.2
"RPS","USA","Price","Coal","USD / tonne","2048",23.54
"RPS","Europe","Price","Coal","USD / tonne","2048",54.12
"RPS","CHN","Price","Coal","USD / tonne","2048",63.68
"RPS","JPN","Price","Coal","USD / tonne","2048",57.56
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2049",26
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2049",2.05
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2049",2.6
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2049",3.6
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2049",16
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2049",1.55
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2049",2.1
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2049",3.1
"FPS","USA","Price","Coal","USD / tonne","2049",24.17
"FPS","Europe","Price","Coal","USD / tonne","2049",57.15
"FPS","CHN","Price","Coal","USD / tonne","2049",65.22
"FPS","JPN","Price","Coal","USD / tonne","2049",59.46
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2049",20.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2049",2.05
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2049",2.1
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2049",2.6
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2049",10.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2049",1.55
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2049",1.6
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2049",2.1
"RPS","USA","Price","Coal","USD / tonne","2049",23.47
"RPS","Europe","Price","Coal","USD / tonne","2049",53.86
"RPS","CHN","Price","Coal","USD / tonne","2049",63.44
"RPS","JPN","Price","Coal","USD / tonne","2049",57.43
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2050",25
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2050",2
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2050",2.5
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2050",3.5
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2050",15
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2050",1.5
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2050",2
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2050",3
"FPS","USA","Price","Coal","USD / tonne","2050",24.1
"FPS","Europe","Price","Coal","USD / tonne","2050",56.9
"FPS","CHN","Price","Coal","USD / tonne","2050",64.8
"FPS","JPN","Price","Coal","USD / tonne","2050",59.2
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2050",20
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2050",2
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2050",2
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2050",2.5
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2050",10
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2050",1.5
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2050",1.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2050",2
"RPS","USA","Price","Coal","USD / tonne","2050",23.4
"RPS","Europe","Price","Coal","USD / tonne","2050",53.6
"RPS","CHN","Price","Coal","USD / tonne","2050",63.2
"RPS","JPN","Price","Coal","USD / tonne","2050",57.3
