"Scenario","Region","Variable_class","Sub_variable_class_1","Units","year","value"
"FPS","Europe","Price","Coal","USD / tonne","2023",53.48
"FPS","CHN","Price","Coal","USD / tonne","2023",81.24
"FPS","JPN","Price","Coal","USD / tonne","2023",70.52
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2023",59.5
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2023",2.44
"RPS","Europe","Price (high)","Natural gas","USD / MMBtu","2023",3.65
"RPS","Asia","Price (high)","Natural gas","USD / MMBtu","2023",4.37
"RPS","WORLD","Price (low)","Oil","USD / Barrel","2023",56.5
"RPS","USA","Price (low)","Natural gas","USD / MMBtu","2023",2.29
"RPS","Europe","Price (low)","Natural gas","USD / MMBtu","2023",3.5
"RPS","Asia","Price (low)","Natural gas","USD / MMBtu","2023",4.22
"RPS","USA","Price","Coal","USD / tonne","2023",37.43
"RPS","Europe","Price","Coal","USD / tonne","2023",53.33
"RPS","CHN","Price","Coal","USD / tonne","2023",79.26
"RPS","JPN","Price","Coal","USD / tonne","2023",68.09
"FPS","WORLD","Price (high)","Oil","USD / Barrel","2024",62
"FPS","USA","Price (high)","Natural gas","USD / MMBtu","2024",2.52
"FPS","Europe","Price (high)","Natural gas","USD / MMBtu","2024",3.9
"FPS","Asia","Price (high)","Natural gas","USD / MMBtu","2024",4.66
"FPS","WORLD","Price (low)","Oil","USD / Barrel","2024",58
"FPS","USA","Price (low)","Natural gas","USD / MMBtu","2024",2.32
"FPS","Europe","Price (low)","Natural gas","USD / MMBtu","2024",3.7
"FPS","Asia","Price (low)","Natural gas","USD / MMBtu","2024",4.46
"FPS","USA","Price","Coal","USD / tonne","2024",39.12
"FPS","Europe","Price","Coal","USD / tonne","2024",54.54
"FPS","CHN","Price","Coal","USD / tonne","2024",80.62
"FPS","JPN","Price","Coal","USD / tonne","2024",70.76
"RPS","WORLD","Price (high)","Oil","USD / Barrel","2024",56
"RPS","USA","Price (high)","Natural gas","USD / MMBtu","2024",2.52
