scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
AdvancedEconomies,WEO2021_SDS,Oil&Gas,bcm,Gas,2050,declining,-0.5111940298507462
AdvancedEconomies,WEO2021_SDS,Oil&Gas,mb/d,Oil,2050,declining,-0.47232472324723246
AdvancedEconomies,WEO2021_SDS,Power,GW,CoalCap,2030,declining,0
AdvancedEconomies,WEO2021_SDS,Power,GW,GasCap,2030,declining,0
AdvancedEconomies,WEO2021_SDS,Power,GW,HydroCap,2030,increasing,0
AdvancedEconomies,WEO2021_SDS,Power,GW,NuclearCap,2030,increasing,0
AdvancedEconomies,WEO2021_SDS,Power,GW,OilCap,2030,declining,0
AdvancedEconomies,WEO2021_SDS,Power,GW,RenewablesCap,2030,increasing,0
AdvancedEconomies,WEO2021_SDS,Power,GW,CoalCap,2035,declining,-0.6749452898366329
AdvancedEconomies,WEO2021_SDS,Power,GW,GasCap,2035,declining,-0.07419501903116023
AdvancedEconomies,WEO2021_SDS,Power,GW,HydroCap,2035,increasing,0.0064660920069059
AdvancedEconomies,WEO2021_SDS,Power,GW,NuclearCap,2035,increasing,2.588932159060199e-4
AdvancedEconomies,WEO2021_SDS,Power,GW,OilCap,2035,declining,-0.3708621316842487
AdvancedEconomies,WEO2021_SDS,Power,GW,RenewablesCap,2035,increasing,0.27016130918868175
AdvancedEconomies,WEO2021_SDS,Power,GW,CoalCap,2040,declining,-0.8485928037050232
AdvancedEconomies,WEO2021_SDS,Power,GW,GasCap,2040,declining,-0.3545627074078394
AdvancedEconomies,WEO2021_SDS,Power,GW,HydroCap,2040,increasing,0.01204633252806106
AdvancedEconomies,WEO2021_SDS,Power,GW,NuclearCap,2040,increasing,0.00167812711033061
AdvancedEconomies,WEO2021_SDS,Power,GW,OilCap,2040,declining,-0.583666787922881
AdvancedEconomies,WEO2021_SDS,Power,GW,RenewablesCap,2040,increasing,0.49660397603834094
AdvancedEconomies,WEO2021_SDS,Power,GW,CoalCap,2045,declining,-0.9505318336811034
AdvancedEconomies,WEO2021_SDS,Power,GW,GasCap,2045,declining,-0.5529002639977099
AdvancedEconomies,WEO2021_SDS,Power,GW,HydroCap,2045,increasing,0.01638201409564388
AdvancedEconomies,WEO2021_SDS,Power,GW,NuclearCap,2045,increasing,0.0021366488300677902
AdvancedEconomies,WEO2021_SDS,Power,GW,OilCap,2045,declining,-0.7075300109130593
AdvancedEconomies,WEO2021_SDS,Power,GW,RenewablesCap,2045,increasing,0.6345457125879806
AdvancedEconomies,WEO2021_SDS,Power,GW,CoalCap,2050,declining,-0.9736882284085704
AdvancedEconomies,WEO2021_SDS,Power,GW,GasCap,2050,declining,-0.6528483126411433
AdvancedEconomies,WEO2021_SDS,Power,GW,HydroCap,2050,increasing,0.02016559808231867
AdvancedEconomies,WEO2021_SDS,Power,GW,NuclearCap,2050,increasing,0.00254214422847482
AdvancedEconomies,WEO2021_SDS,Power,GW,OilCap,2050,declining,-0.7831938886867952
AdvancedEconomies,WEO2021_SDS,Power,GW,RenewablesCap,2050,increasing,0.7299197898909994
AdvancedEconomies,WEO2021_STEPS,Coal,Mtce,Coal,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Coal,Mtce,Coal,2035,declining,-0.06225165562913907
AdvancedEconomies,WEO2021_STEPS,Coal,Mtce,Coal,2040,declining,-0.13774834437086092
AdvancedEconomies,WEO2021_STEPS,Coal,Mtce,Coal,2045,declining,-0.1933774834437086
AdvancedEconomies,WEO2021_STEPS,Coal,Mtce,Coal,2050,declining,-0.24635761589403973
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,bcm,Gas,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,mb/d,Oil,2030,declining,0
AdvancedEconomies,WEO2021_STEPS,Oil&Gas,bcm,Gas,2035,declining,-0.00960384153661464
