scenario_geography,country,country_iso,reg_count,scenario
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_B2DS
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_CP
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_DN0
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_DT
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_NDC
Middle East & Africa (R5),Mauritania,MR,66,NGFS2021_REMIND_NZ2050
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_B2DS
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_CP
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_DN0
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_DT
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_NDC
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_GCAM_NZ2050
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_B2DS
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_CP
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_DN0
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_DT
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_NDC
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_MESSAGE_NZ2050
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_B2DS
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_CP
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_DN0
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_DT
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_NDC
Middle East & Africa (R5),Mauritius,MU,66,NGFS2021_REMIND_NZ2050
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_B2DS
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_CP
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_DN0
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_DT
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_NDC
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_GCAM_NZ2050
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_B2DS
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_CP
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_DN0
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_DT
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_NDC
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_MESSAGE_NZ2050
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_B2DS
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_CP
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_DN0
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_DT
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_NDC
Middle East & Africa (R5),Morocco,MA,66,NGFS2021_REMIND_NZ2050
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_B2DS
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_CP
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_DN0
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_DT
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_NDC
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_GCAM_NZ2050
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_B2DS
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_CP
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_DN0
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_DT
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_NDC
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_MESSAGE_NZ2050
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_B2DS
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_CP
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_DN0
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_DT
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_NDC
Middle East & Africa (R5),Mozambique,MZ,66,NGFS2021_REMIND_NZ2050
