scenario_geography,scenario,ald_sector,units,technology,year,direction,fair_share_perc
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2021,declining,0
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2022,declining,-0.0493951612903226
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2023,declining,-0.0987903225806452
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2024,declining,-0.148185483870968
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2025,declining,-0.19758064516129
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2026,declining,-0.246975806451613
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2027,declining,-0.296370967741935
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2028,declining,-0.345766129032258
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2029,declining,-0.395161290322581
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2030,declining,-0.444556451612903
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2031,declining,-0.457862903225806
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2032,declining,-0.47116935483871
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2033,declining,-0.484475806451613
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2034,declining,-0.497782258064516
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2035,declining,-0.511088709677419
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2036,declining,-0.514112903225806
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2037,declining,-0.517137096774194
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2038,declining,-0.520161290322581
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2039,declining,-0.523185483870968
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2040,declining,-0.526209677419355
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2041,declining,-0.534475806451613
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2042,declining,-0.542741935483871
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2043,declining,-0.551008064516129
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2044,declining,-0.559274193548387
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2045,declining,-0.567540322580645
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2046,declining,-0.571774193548387
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2047,declining,-0.576008064516129
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2048,declining,-0.580241935483871
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2049,declining,-0.584475806451613
AdvancedEconomies,WEO2021_APS,Coal,Mtce,Coal,2050,declining,-0.588709677419355
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2021,declining,0
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2021,declining,0
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2022,declining,-0.0092339706073612
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2022,declining,3.4710170079826e-4
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2023,declining,-0.0184679412147222
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2023,declining,6.9420340159653e-4
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2024,declining,-0.0277019118220834
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2024,declining,0.00104130510239492
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2025,declining,-0.0369358824294446
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2025,declining,0.00138840680319331
AdvancedEconomies,WEO2021_APS,Oil&Gas,bcm,Gas,2026,declining,-0.0461698530368058
AdvancedEconomies,WEO2021_APS,Oil&Gas,mb/d,Oil,2026,declining,0.00173550850399157
